Textfarbe;Textlänge;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
Schwarz;Kurz;1;3;3;true;3238;
Hervorgehoben;Lang;1;6;6;true;2670;
Schwarz;Kurz;1;1;1;true;3339;
Hervorgehoben;Kurz;1;2;2;true;1109;
Hervorgehoben;Lang;1;3;3;true;1799;
Hervorgehoben;Kurz;1;1;1;true;1330;
Schwarz;Kurz;1;1;1;true;3311;
Hervorgehoben;Lang;1;4;4;true;1551;
Hervorgehoben;Lang;1;2;2;true;1040;
Schwarz;Lang;1;2;2;true;4088;
Schwarz;Lang;1;1;1;true;5781;
Schwarz;Lang;1;4;4;true;8449;
Schwarz;Lang;1;3;3;true;8421;
Hervorgehoben;Kurz;1;1;1;true;1129;
Hervorgehoben;Kurz;1;1;1;true;1011;
Schwarz;Kurz;1;1;1;true;3510;
Schwarz;Kurz;1;2;2;true;2444;
Hervorgehoben;Lang;1;2;2;true;2431;
Hervorgehoben;Kurz;1;1;1;true;1000;
Schwarz;Lang;1;3;3;true;7810;
